entidad,municipio,sexo,edad,edad_grupos
01,001,mujer,63,"[25,64)"
01,001,mujer,90,"[64,Inf]"
01,001,mujer,87,"[64,Inf]"
01,005,mujer,93,"[64,Inf]"
01,007,hombre,59,"[25,64)"
01,001,mujer,78,"[64,Inf]"
01,001,hombre,81,"[64,Inf]"
01,001,hombre,63,"[25,64)"
01,001,hombre,96,"[64,Inf]"
01,001,mujer,72,"[64,Inf]"
01,001,hombre,0,"[0,3)"
01,001,hombre,62,"[25,64)"
01,002,hombre,91,"[64,Inf]"
01,001,hombre,71,"[64,Inf]"
01,001,mujer,46,"[25,64)"
01,001,mujer,97,"[64,Inf]"
01,003,mujer,83,"[64,Inf]"
01,001,mujer,68,"[64,Inf]"
01,003,mujer,90,"[64,Inf]"
01,007,hombre,61,"[25,64)"
01,010,mujer,85,"[64,Inf]"
01,003,mujer,73,"[64,Inf]"
01,007,hombre,0,"[0,3)"
01,007,hombre,84,"[64,Inf]"
01,003,mujer,90,"[64,Inf]"
01,005,hombre,58,"[25,64)"
01,001,mujer,55,"[25,64)"
01,009,mujer,92,"[64,Inf]"
01,007,hombre,69,"[64,Inf]"
01,003,mujer,81,"[64,Inf]"
01,003,mujer,78,"[64,Inf]"
01,001,hombre,84,"[64,Inf]"
01,001,hombre,87,"[64,Inf]"
01,001,mujer,87,"[64,Inf]"
01,001,hombre,81,"[64,Inf]"
01,001,mujer,82,"[64,Inf]"
01,001,mujer,72,"[64,Inf]"
01,001,hombre,40,"[25,64)"
01,001,mujer,83,"[64,Inf]"
01,001,mujer,79,"[64,Inf]"
01,001,mujer,76,"[64,Inf]"
01,001,hombre,60,"[25,64)"
01,001,hombre,27,"[25,64)"
01,001,hombre,81,"[64,Inf]"
01,001,mujer,80,"[64,Inf]"
01,001,hombre,85,"[64,Inf]"
01,007,hombre,65,"[64,Inf]"
01,001,hombre,59,"[25,64)"
01,001,hombre,69,"[64,Inf]"
01,001,mujer,80,"[64,Inf]"
01,001,mujer,61,"[25,64)"
01,001,mujer,81,"[64,Inf]"
01,001,hombre,48,"[25,64)"
